videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId,commentId
1mGOWxLqcEk,I love this music❤️❤️❤️,I love this music❤️❤️❤️,babygirlmonia,https://yt3.ggpht.com/ytc/AL5GRJXg3NU2ITCLjsmid2uMNBMP3bGBTevA_1g5yWNo=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCgcxvXJw6QRABvW6XdBkhzg,{'value': 'UCgcxvXJw6QRABvW6XdBkhzg'},True,none,0,2023-02-24T19:35:16Z,2023-02-24T19:35:16Z,,UgyPjY4N8AoELqxeG7d4AaABAg
1mGOWxLqcEk,Jehová el diablo 😝😜🤪  quiere pelear si ☺️🤠😊😻 no 😹😞😂😃🙂😂 atte 🤣🤣 Blanca 😜🤪 Esther 😛🤣,Jehová el diablo 😝😜🤪  quiere pelear si ☺️🤠😊😻 no 😹😞😂😃🙂😂 atte 🤣🤣 Blanca 😜🤪 Esther 😛🤣,Lazaro Hernandez,https://yt3.ggpht.com/ytc/AL5GRJUSmslgj51PCLy5jIOAw2RmX2B4RQTUknc9_jRiNArmiyroUxE3XSlCHRRO5xTx=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCeh6fzh0s0xQ4sEepqMw_Wg,{'value': 'UCeh6fzh0s0xQ4sEepqMw_Wg'},True,none,0,2023-02-22T17:58:41Z,2023-02-22T17:58:41Z,,Ugz9_E7xUhnMgIyv1Wx4AaABAg
1mGOWxLqcEk,Son nuestros hijos Jehová no sí ☺️😹😞😂😂😃 quieren luchar no sí 😃🙂😂😃 tu que dices Jehová no sí ☺️😹😞😂😃 entonces que luchen atte 😃🤣 Blanca 😜😃 Esther su mamá,Son nuestros hijos Jehová no sí ☺️😹😞😂😂😃 quieren luchar no sí 😃🙂😂😃 tu que dices Jehová no sí ☺️😹😞😂😃 entonces que luchen atte 😃🤣 Blanca 😜😃 Esther su mamá,Lazaro Hernandez,https://yt3.ggpht.com/ytc/AL5GRJUSmslgj51PCLy5jIOAw2RmX2B4RQTUknc9_jRiNArmiyroUxE3XSlCHRRO5xTx=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCeh6fzh0s0xQ4sEepqMw_Wg,{'value': 'UCeh6fzh0s0xQ4sEepqMw_Wg'},True,none,0,2023-02-21T18:13:55Z,2023-02-21T18:13:55Z,,Ugz7HgPQ24fJSgX6O7Z4AaABAg
1mGOWxLqcEk,Que Jehová nuestros hijos quieren luchar no 😞😂😂😃 si ☺️🤠😁😁😊😻😜😃🙂😉😃🙂😂😃🙂😉😃 atte 🤪😸 Blanca Esther 🙂😸😍🙂,Que Jehová nuestros hijos quieren luchar no 😞😂😂😃 si ☺️🤠😁😁😊😻😜😃🙂😉😃🙂😂😃🙂😉😃 atte 🤪😸 Blanca Esther 🙂😸😍🙂,Lazaro Hernandez,https://yt3.ggpht.com/ytc/AL5GRJUSmslgj51PCLy5jIOAw2RmX2B4RQTUknc9_jRiNArmiyroUxE3XSlCHRRO5xTx=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCeh6fzh0s0xQ4sEepqMw_Wg,{'value': 'UCeh6fzh0s0xQ4sEepqMw_Wg'},True,none,0,2023-02-21T04:10:34Z,2023-02-21T04:10:34Z,,UgxngW3oIFqHnT-3PU54AaABAg
1mGOWxLqcEk,"LoTR is a bad movie, it‘s way way way too short! The rest is super great but the length is to short -100 Points","LoTR is a bad movie, it‘s way way way too short! The rest is super great but the length is to short -100 Points",triko 03,https://yt3.ggpht.com/ytc/AL5GRJUycquNMmyTFSpSmXCrNBAIyW_jj0IEXZFRSGKdjg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCICzQfeGXohiCo_CaZ3DFog,{'value': 'UCICzQfeGXohiCo_CaZ3DFog'},True,none,1,2023-02-16T03:16:26Z,2023-02-16T03:16:26Z,,Ugyxxh9AcWaYNbaCH2N4AaABAg
1mGOWxLqcEk,When your trade seems to think our loved ones are a profit it seems your time has come to an end,When your trade seems to think our loved ones are a profit it seems your time has come to an end,william olsen,https://yt3.ggpht.com/ytc/AL5GRJW1OPKzOoFgbHglpt-Nt4UOpJ_vWGuUagUTgDuy0KdSQV9qLUCWblGLzdSMLOVB=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCgQu0_ruqzPI-eCgzd6Wgew,{'value': 'UCgQu0_ruqzPI-eCgzd6Wgew'},True,none,0,2023-02-15T09:59:46Z,2023-02-15T09:59:46Z,,UgzLMUEKXkESGDwTlEV4AaABAg
1mGOWxLqcEk,MMMMMUUUUUUUUUEEEEEEERRRRRRRRRTTTTEEEEEEEEEEEEEEEEEEE!!!!!!!!!!,MMMMMUUUUUUUUUEEEEEEERRRRRRRRRTTTTEEEEEEEEEEEEEEEEEEE!!!!!!!!!!,jaumegat,https://yt3.ggpht.com/ytc/AL5GRJWN9sWnrmK_owXUx_wNq2GEgeoSUSDkgZnFjWTE=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCzbYKZ_Q22fECrItd-1TX-w,{'value': 'UCzbYKZ_Q22fECrItd-1TX-w'},True,none,0,2023-02-13T19:29:07Z,2023-02-13T19:29:07Z,,UgxOQzlEJ0lJjTBL0FJ4AaABAg
1mGOWxLqcEk,RIDE NOW....RIIIIIIIIDE NOW.  RIDE!!!!!,RIDE NOW....RIIIIIIIIDE NOW.  RIDE!!!!!,Vidarien,https://yt3.ggpht.com/ytc/AL5GRJVaYyQSS1ogU6rkXle-akOG_jMnxhue-ofPInLR=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCplHwzZaLttqn3Vm-R7sbCg,{'value': 'UCplHwzZaLttqn3Vm-R7sbCg'},True,none,0,2023-02-12T00:15:32Z,2023-02-12T00:15:32Z,,UgyA60dJoD9KTHjMebR4AaABAg
1mGOWxLqcEk,Están al lado de la vida 😅😃🙂😉😃 gracias ☺️🐱 hijos e hijas los amo son un orgullo sano para mí que Jehová los bendiga y yo me esforzarse por estar bien 😃🙂 con ustedes y como mamá atte Blanca 😸😍🙂 Esther 😜🤪😸😍,Están al lado de la vida 😅😃🙂😉😃 gracias ☺️🐱 hijos e hijas los amo son un orgullo sano para mí que Jehová los bendiga y yo me esforzarse por estar bien 😃🙂 con ustedes y como mamá atte Blanca 😸😍🙂 Esther 😜🤪😸😍,Lazaro Hernandez,https://yt3.ggpht.com/ytc/AL5GRJUSmslgj51PCLy5jIOAw2RmX2B4RQTUknc9_jRiNArmiyroUxE3XSlCHRRO5xTx=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCeh6fzh0s0xQ4sEepqMw_Wg,{'value': 'UCeh6fzh0s0xQ4sEepqMw_Wg'},True,none,0,2023-02-11T22:16:57Z,2023-02-11T22:16:57Z,,UgyutXXzbJGDaOlgrdx4AaABAg
1mGOWxLqcEk,"I am crawling out from under the dark, grey weight of a bitter Depression. My mind was literally not my own for a time.<br>Imagining myself, broken but not beaten, drawing back up to my full height once more like Théoden freed from Saruman, while this music plays...<br>Yes. A thousand times yes. ✊🏻","I am crawling out from under the dark, grey weight of a bitter Depression. My mind was literally not my own for a time.
Imagining myself, broken but not beaten, drawing back up to my full height once more like Théoden freed from Saruman, while this music plays...
Yes. A thousand times yes. ✊🏻",GreenScholarTales,https://yt3.ggpht.com/ytc/AL5GRJWEuxjILWv9JUheW7nA4t8cHmkWAsrSpNcFZAGw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCfLiJbgdu3xVuq64aR-TaTA,{'value': 'UCfLiJbgdu3xVuq64aR-TaTA'},True,none,17,2023-02-10T18:08:46Z,2023-02-10T18:10:12Z,,Ugwf-_2QnRM5r6NqH7B4AaABAg
